teamscorepos,dateloc,possessions,totalDrama,perDrama
100 Belmont 96 99 Indiana St. 95 [79],"Thursday, November 14, 2013 8:00 pm ET Curb Event Center Nashville, TN",79,5.7731,0.036308805
304 Portland St. 67 229 Loyola Chicago 63 [62],"Friday, November 22, 2013 8:30 pm ET Stott Center Portland, OR",62,4.5385,0.036308
40 San Diego St. 67 44 Marquette 59 [65],"Sunday, December 1, 2013 9:30 pm ET Honda Center Anaheim, CA",65,4.7894,0.036283333
308 Coppin St. 78 75 Oregon St. 73 [71],"Sunday, November 10, 2013 8:00 pm ET Gill Coliseum Corvallis, OR",71,5.2216,0.036261111
143 IPFW 97 135 Akron 91 [67],"Wednesday, March 19, 2014 7:00 pm ET Gates Sports Center Fort Wayne, IN",67,4.8582,0.036255224
244 Army 74 211 Colgate 66 [63],"Wednesday, February 19, 2014 7:00 pm ET Christl Arena West Point, NY",63,4.568,0.036253968
259 Arkansas Little Rock 85 220 Southern 82  (OT) [85],"Friday, November 22, 2013 8:00 pm ET Clark Center Baton Rouge, LA",85,5.7986,0.03624125
202 Virginia Tech 52 71 Miami FL 45 [55],"Saturday, February 15, 2014 6:00 pm ET Cassell Coliseum Blacksburg, VA",55,3.9845,0.036222727
23 Tennessee 81 45 Arkansas 74 [71],"Wednesday, January 22, 2014 8:00 pm ET Thompson-Boling Arena Knoxville, TN",71,5.1797,0.036221678
212 Montana 68 166 Weber St. 57 [50],"Thursday, February 20, 2014 9:00 pm ET Dahlberg Arena Missoula, MT",50,3.7308,0.036221359
76 Manhattan 78 261 Niagara 77 [82],"Sunday, February 9, 2014 2:00 pm ET Gallagher Center Niagara, NY",82,6.0474,0.036211976
321 Tennessee Martin 79 230 Southeast Missouri St. 70 [74],"Wednesday, February 12, 2014 7:00 pm ET Show Me Center Cape Girardeau, MO",74,5.3954,0.036210738
140 Holy Cross 72 225 Lehigh 67 [63],"Saturday, February 15, 2014 2:00 pm ET Stabler Arena Bethlehem, PA",63,4.6318,0.036185938
91 UTEP 67 268 Western Illinois 64 [69],"Saturday, December 28, 2013 9:00 pm ET Don Haskins Center El Paso, TX",69,4.9192,0.036170588
95 Princeton 81 226 Lafayette 80  (OT) [67],"Wednesday, November 20, 2013 7:00 pm ET Jadwin Gymnasium Princeton, NJ",67,4.9529,0.036152555
92 UC Irvine 71 86 UC Santa Barbara 60 [56],"Thursday, February 27, 2014 10:00 pm ET Bren Events Center Irvine, CA",56,4.0819,0.036123009
74 Missouri 91 128 Texas A&M 83  (2OT) [78],"Thursday, March 13, 2014 1:00 pm ET Georgia Dome Atlanta, GA",78,5.7434,0.036122013
10 Michigan 80 8 Michigan St. 75 [63],"Saturday, January 25, 2014 7:00 pm ET Breslin Center East Lansing, MI",63,4.6222,0.036110938
60 Colorado 61 30 Arizona St. 52 [66],"Wednesday, February 19, 2014 11:00 pm ET Coors Events Center Boulder, CO",66,4.9468,0.036108029
211 North Texas 78 212 Florida Atlantic 76 [62],"Saturday, February 22, 2014 7:00 pm ET FAU Arena Boca Raton, FL",62,4.4412,0.036107317
69 George Washington 77 46 Maryland 75 [77],"Sunday, December 8, 2013 3:30 pm ET Verizon Center Washington, DC",77,5.5605,0.036107143
122 UCF 78 105 Temple 76 [70],"Saturday, January 4, 2014 4:00 pm ET CFE Arena Orlando, FL",70,4.9822,0.036102899
124 Eastern Kentucky 79 236 Southeast Missouri St. 78 [70],"Saturday, February 1, 2014 7:00 pm ET McBrayer Arena Richmond, KY",70,5.0536,0.036097143
80 Tulsa 76 78 Middle Tennessee 69 [70],"Friday, March 14, 2014 4:00 pm ET Don Haskins Center El Paso, TX",70,4.9014,0.036039706
225 Saint Peter's 63 273 Fairfield 62 [59],"Tuesday, February 25, 2014 7:00 pm ET Yanitelli Center Jersey City, NJ",59,4.3236,0.03603
75 Northern Iowa 76 105 Drake 66 [66],"Saturday, January 11, 2014 8:00 pm ET McLeod Center Cedar Falls, IA",66,4.9358,0.036027737
47 Xavier 65 29 St. John's 53 [66],"Tuesday, February 25, 2014 7:00 pm ET Madison Square Garden New York, NY",66,4.9352,0.036023358
143 Wright St. 72 190 Oakland 71 [70],"Sunday, February 16, 2014 1:00 pm ET Athletics Center O'Rena Oakland, MI",70,5.077,0.036007092
240 Coastal Carolina 75 226 Gardner Webb 60 [71],"Saturday, February 15, 2014 7:00 pm ET HTC Center Conway, SC",71,5.1816,0.035983333
45 Providence 67 80 Vanderbilt 60 [69],"Friday, November 22, 2013 6:30 pm ET Virgin Islands Sport &amp; Fitness Center St. Thomas, VI",69,4.7486,0.035974242
210 St. Francis NY 65 179 Lafayette 62 [64],"Thursday, December 19, 2013 7:00 pm ET Peter Aquilone Court Brooklyn Heights, NY",64,4.6014,0.035948438
123 Stony Brook 58 343 Binghamton 53 [63],"Tuesday, February 4, 2014 7:00 pm ET Events Center Vestal, NY",63,4.6013,0.035947656
210 Bowling Green 74 112 Buffalo 68 [66],"Sunday, February 2, 2014 2:00 pm ET Stroh Center Bowling Green, OH",66,4.9246,0.035945985
216 Texas A&M Corpus Chris 82 227 Northern Colorado 71 [59],"Wednesday, March 19, 2014 9:00 pm ET Butler-Hancock Sports Pavilion Greeley, CO",59,4.3482,0.035935537
52 Green Bay 71 180 Oakland 63 [68],"Thursday, February 27, 2014 8:00 pm ET Athletics Center O'Rena Oakland, MI",68,4.9579,0.035926812
335 Central Connecticut 87 218 Wagner 83 [78],"Thursday, January 23, 2014 7:00 pm ET Spiro Sports Center Staten Island, NY",78,5.6391,0.035917834
199 Northeastern 70 254 Hofstra 57 [57],"Saturday, January 25, 2014 4:00 pm ET Mack Sports Complex Hempstead, NY",57,4.0912,0.035887719
226 Saint Peter's 71 280 Niagara 67 [61],"Sunday, March 2, 2014 2:00 pm ET Yanitelli Center Jersey City, NJ",61,4.3007,0.035839167
215 UNC Asheville 81 255 Gardner Webb 77 [72],"Wednesday, January 8, 2014 7:00 pm ET Paul Porter Arena Boiling Springs, NC",72,5.1957,0.035832414
15 Ohio St. 71 47 Nebraska 67 [69],"Friday, March 14, 2014 2:25 pm ET Bankers Life Fieldhouse Indianapolis, IN",69,5.0871,0.035824648
2 Syracuse 59 7 Pittsburgh 54 [54],"Saturday, January 18, 2014 4:00 pm ET Carrier Dome Syracuse, NY",54,3.9755,0.035815315
38 Florida St. 67 109 Wake Forest 60 [64],"Saturday, February 15, 2014 8:00 pm ET Joel Coliseum Winston-Salem, NC",64,4.6554,0.035810769
271 Mount St. Mary's 68 249 American 64 [59],"Saturday, November 23, 2013 4:00 pm ET Knott Arena Emmitsburg, MD",59,4.2955,0.035795833
221 Fordham 79 78 Manhattan 75 [71],"Tuesday, November 26, 2013 7:00 pm ET Draddy Gymnasium Riverdale, NY",71,5.0472,0.035795745
170 South Dakota St. 70 214 South Dakota 68 [66],"Saturday, February 1, 2014 5:00 pm ET DakotaDome Vermillion, SD",66,4.6533,0.035794615
4 Wisconsin 75 14 Iowa 71 [70],"Sunday, January 5, 2014 8:00 pm ET Kohl Center Madison, WI",70,4.9742,0.035785612
75 Boston College 75 243 Sacred Heart 67  (OT) [70],"Tuesday, November 26, 2013 7:00 pm ET Silvio O. Conte Forum Chestnut Hill, MA",70,4.8307,0.035782963
141 Eastern Kentucky 79 103 Belmont 73 [64],"Saturday, March 8, 2014 7:00 pm ET Nashville Municipal Auditorium Nashville, TN",64,4.6849,0.035762595
35 Memphis 73 4 Louisville 67 [71],"Thursday, January 9, 2014 7:00 pm ET KFC Yum! Center Louisville, KY",71,5.0067,0.035762143
160 San Diego 74 132 Loyola Marymount 67 [65],"Thursday, January 9, 2014 10:00 pm ET Jenny Craig Pavilion San Diego, CA",65,4.4342,0.035759677
5 Virginia 72 7 Duke 63 [61],"Sunday, March 16, 2014 1:00 pm ET Greensboro Coliseum Greensboro, NC",61,4.2537,0.035745378
60 Providence 50 183 Rhode Island 49 [54],"Thursday, December 5, 2013 8:00 pm ET Thomas M. Ryan Center Kingston, RI",54,3.9311,0.035737273
107 Texas A&M 75 114 South Carolina 67 [64],"Wednesday, January 15, 2014 8:00 pm ET Reed Arena College Station, TX",64,4.7867,0.035721642
159 Yale 70 266 Penn 63 [64],"Saturday, March 1, 2014 7:00 pm ET Palestra Philadelphia, PA",64,4.5005,0.035718254
87 Texas 72 141 Stephen F. Austin 62 [67],"Friday, November 15, 2013 8:00 pm ET Erwin Center Austin, TX",67,4.8208,0.03570963
276 Loyola MD 67 190 Colgate 60 [65],"Saturday, January 25, 2014 7:00 pm ET Reitz Arena Baltimore, MD",65,4.5678,0.035685938
316 Central Connecticut 74 298 Sacred Heart 69 [68],"Saturday, February 15, 2014 1:00 pm ET Detrick Gymnasium New Britain, CT",68,4.8156,0.035671111
204 St. Francis NY 60 333 Delaware St. 57 [65],"Monday, December 30, 2013 4:00 pm ET Memorial Hall Dover, DE",65,4.6727,0.035669466
88 UNLV 73 102 Utah St. 62 [59],"Saturday, February 15, 2014 4:05 pm ET Dee Glen Smith Spectrum Logan, UT",59,4.279,0.035658333
311 Samford 76 330 Furman 68 [68],"Monday, February 3, 2014 7:00 pm ET Timmons Arena Greenville, SC",68,4.8826,0.035639416
45 New Mexico 69 245 San Jose St. 65 [71],"Saturday, January 11, 2014 10:05 pm ET San Jose State Event Center San Jose, CA",71,4.8088,0.035620741
111 Manhattan 66 263 Hofstra 59 [59],"Saturday, November 30, 2013 4:00 pm ET Mack Sports Complex Hempstead, NY",59,4.0589,0.035604386
137 Western Michigan 75 104 Eastern Michigan 67 [69],"Sunday, February 23, 2014 2:00 pm ET University Arena in Read Fieldhouse Kalamazoo, MI",69,4.7695,0.035593284
45 Baylor 88 53 West Virginia 75 [60],"Saturday, February 22, 2014 1:30 pm ET WVU Coliseum Morgantown, WV",60,4.4491,0.0355928
154 Elon 68 164 Columbia 65  (OT) [72],"Sunday, December 1, 2013 2:00 pm ET Alumni Gym Elon, NC",72,5.1942,0.035576712
297 Tennessee Tech 62 326 Texas A&M Corpus Chris 60 [59],"Saturday, November 16, 2013 6:30 pm ET American Bank Center Corpus Christi, TX",59,4.1974,0.035571186
203 Utah Valley 71 267 Idaho 66 [64],"Thursday, January 16, 2014 10:00 pm ET Cowan Spectrum Moscow, ID",64,4.5862,0.035551938
308 UNC Greensboro 66 322 Appalachian St. 60 [74],"Thursday, January 9, 2014 7:00 pm ET Holmes Convocation Center Boone, NC",74,5.3668,0.035541722
125 Pacific 78 55 Utah St. 68 [66],"Saturday, December 7, 2013 7:05 pm ET Dee Glen Smith Spectrum Logan, UT",66,4.796,0.035525926
262 James Madison 64 267 UNC Wilmington 62 [62],"Saturday, February 15, 2014 12:00 pm ET JMU Convocation Center Harrisonburg, VA",62,4.5459,0.035514844
33 Arizona St. 86 159 UNLV 80 [81],"Tuesday, November 19, 2013 10:05 pm ET Thomas &amp; Mack Center Las Vegas, NV",81,5.7877,0.035507362
33 Colorado 100 22 Oregon 91 [78],"Sunday, January 5, 2014 5:00 pm ET Coors Events Center Boulder, CO",78,5.5036,0.035507097
89 Wake Forest 76 61 Richmond 66  (OT) [74],"Saturday, December 7, 2013 2:00 pm ET Lawrence Joel Veterans Memorial Coliseum Winston-Salem, NC",74,5.2192,0.035504762
80 Wake Forest 65 70 Notre Dame 58 [62],"Saturday, January 25, 2014 3:00 pm ET Joel Coliseum Winston-Salem, NC",62,4.5091,0.035504724
70 Southern Miss 77 85 UTEP 68 [60],"Saturday, February 22, 2014 6:00 pm ET Reed Green Coliseum Hattiesburg, MS",60,4.2941,0.03548843
165 Youngstown St. 75 117 Eastern Kentucky 67 [69],"Sunday, November 10, 2013 1:00 pm ET KSU Convocation Center Kennesaw, GA",69,4.9326,0.035486331
10 Michigan 64 59 Illinois 63 [57],"Friday, March 14, 2014 12:00 pm ET Bankers Life Fieldhouse Indianapolis, IN",57,4.1513,0.035481197
158 Georgia Tech 68 163 Boston College 60 [58],"Tuesday, January 21, 2014 9:00 pm ET Conte Forum Chestnut Hill, MA",58,4.0084,0.035472566
218 William & Mary 78 267 Western Illinois 67 [64],"Saturday, January 4, 2014 8:00 pm ET Western Hall Macomb, IL",64,4.6468,0.035471756
271 IUPUI 71 105 North Carolina Central 65 [68],"Saturday, December 7, 2013 2:00 pm ET IUPUI Gymnasium Indianapolis, IN",68,4.9635,0.035453571
120 Stony Brook 56 239 Hartford 52 [58],"Saturday, February 1, 2014 2:00 pm ET USB Sports Complex Stony Brook, NY",58,4.1833,0.035451695
242 Cal St. Bakersfield 61 247 Northern Arizona 50 [66],"Friday, November 29, 2013 7:30 pm ET Save Mart Center Fresno, CA",66,4.6794,0.03545
141 San Diego 69 28 Gonzaga 66 [64],"Saturday, February 22, 2014 12:00 am ET Jenny Craig Pavilion San Diego, CA",64,4.7141,0.035444361
10 Connecticut 60 9 Kentucky 54 [60],"Monday, April 7, 2014 9:10 pm ET AT&amp;T Stadium Arlington, TX",60,4.3948,0.035441935
210 UT Arlington 80 311 Houston Baptist 70 [70],"Saturday, December 14, 2013 8:30 pm ET Sharp Gymnasium Houston, TX",70,5.1024,0.035433333
92 Purdue 70 90 Nebraska 64 [69],"Sunday, January 12, 2014 12:00 pm ET Mackey Arena West Lafayette, IN",69,4.9928,0.035409929
90 UAB 87 74 Nebraska 74 [68],"Friday, November 22, 2013 12:00 pm ET TD Arena Charleston, SC",68,4.85,0.03540146
274 UMKC 82 223 Seattle 73 [75],"Thursday, March 6, 2014 8:05 pm ET Independence Events Center Independence, MO",75,5.1682,0.03539863
269 Air Force 75 63 UNLV 68 [64],"Saturday, January 4, 2014 10:00 pm ET Thomas &amp; Mack Center Las Vegas, NV",64,4.6345,0.035377863
291 Chattanooga 70 256 Wofford 69 [66],"Saturday, January 11, 2014 7:00 pm ET McKenzie Arena Chattanooga, TN",66,4.7048,0.035374436
346 Presbyterian 74 294 Appalachian St. 69 [67],"Wednesday, December 18, 2013 7:00 pm ET Templeton P.E. Center Clinton, SC",67,4.7755,0.035374074
270 East Tennessee St. 99 252 North Florida 93 [75],"Thursday, January 23, 2014 7:00 pm ET MSHA Athletic Center Johnson City, TN",75,5.3767,0.035373026
28 Georgetown 84 30 VCU 80 [80],"Sunday, November 24, 2013 2:00 pm ET Coliseo Roberto Clemente San Juan, Puerto Rico",80,5.7652,0.035369325
70 Mississippi 75 125 South Carolina 71 [68],"Saturday, February 1, 2014 1:30 pm ET Tad Smith Coliseum Oxford, MS",68,4.8454,0.035367883
139 Wright St. 58 292 Illinois Chicago 53 [61],"Sunday, January 12, 2014 7:00 pm ET Nutter Center Dayton, OH",61,4.3133,0.035354918
153 Boston College 80 118 Wake Forest 72 [67],"Saturday, March 1, 2014 4:00 pm ET Joel Coliseum Winston-Salem, NC",67,4.8787,0.035352899
167 San Diego 69 163 Santa Clara 66 [61],"Thursday, January 16, 2014 10:00 pm ET Leavey Center Santa Clara, CA",61,4.1347,0.035339316
95 Mississippi 78 212 Mississippi St. 66 [69],"Thursday, March 13, 2014 9:25 pm ET Georgia Dome Atlanta, GA",69,4.9108,0.035329496
158 Morehead St. 69 293 Jacksonville St. 67 [67],"Thursday, February 13, 2014 8:00 pm ET Pete Mathews Coliseum Jacksonville, AL",67,4.8031,0.035316912
50 Nebraska 77 11 Wisconsin 68 [65],"Sunday, March 9, 2014 7:30 pm ET Pinnacle Bank Arena Lincoln, NE",65,4.7319,0.035312687
1 Arizona 70 16 San Diego St. 64 [57],"Thursday, March 27, 2014 10:17 pm ET Honda Center Anaheim, CA",57,4.0605,0.035308696
320 Alabama A&M 72 332 Prairie View A&M 65 [71],"Saturday, March 1, 2014 6:00 pm ET William Nicks Center Prairie View, TX",71,5.0479,0.0353
43 Harvard 59 102 Princeton 47 [63],"Saturday, February 22, 2014 8:00 pm ET L. Stockwell Jadwin Gymnasium Princeton, NJ",63,4.5178,0.035295313
252 UMKC 70 230 Cal St. Bakersfield 69 [71],"Saturday, January 25, 2014 10:00 pm ET Icardo Center Bakersfield, CA",71,5.0824,0.035294444
100 Columbia 68 115 Stony Brook 63 [62],"Wednesday, January 8, 2014 7:00 pm ET Levien Gymnasium New York, NY",62,4.3412,0.035294309
95 Miami FL 81 293 Georgia Southern 80  (OT) [67],"Monday, November 11, 2013 7:00 pm ET BankUnited Center Coral Gables, FL",67,4.727,0.035276119
321 Alabama St. 59 248 Western Illinois 52 [63],"Monday, December 16, 2013 8:00 pm ET Dunn-Oliver Acadome Montgomery, AL",63,4.4441,0.035270635
178 Davidson 86 314 Stetson 80 [70],"Saturday, November 30, 2013 1:00 pm ET Edmunds Center DeLand, FL",70,5.043,0.035265734
71 Princeton 78 196 Rutgers 73 [63],"Wednesday, December 11, 2013 7:30 pm ET Louis Brown Athletic Center Piscataway, NJ",63,4.548,0.035255814
287 Tennessee Tech 72 145 Eastern Kentucky 66 [68],"Thursday, February 13, 2014 8:00 pm ET Hooper Eblen Arena Cookeville, TN",68,4.794,0.03525
156 Stephen F. Austin 60 252 UNC Wilmington 55 [65],"Friday, November 29, 2013 7:00 pm ET Trask Coliseum Wilmington, NC",65,4.6878,0.035246617
58 Colorado 59 69 California 56 [60],"Thursday, March 13, 2014 5:30 pm ET MGM Grand Las Vegas, NV",60,4.2226,0.035188333
150 DePaul 99 62 Butler 94  (2OT) [83],"Thursday, January 9, 2014 7:00 pm ET Hinkle Fieldhouse Indianapolis, IN",83,5.7352,0.035185276
218 Loyola Chicago 76 265 Milwaukee 72 [69],"Friday, November 8, 2013 8:00 pm ET Gentile Center Chicago, IL",69,4.9605,0.035180851
221 FIU 72 206 Florida Gulf Coast 61 [67],"Saturday, December 7, 2013 4:00 pm ET U.S. Century Bank Arena Miami, FL",67,4.7485,0.035174074
113 Toledo 103 79 Stony Brook 99 [76],"Friday, November 22, 2013 4:30 pm ET Calihan Hall Detroit, MI",76,5.3099,0.035164901
204 North Texas 71 321 UTSA 62 [65],"Thursday, February 27, 2014 8:00 pm ET UTSA Convocation Center San Antonio, TX",65,4.639,0.035143939
143 Seton Hall 77 185 Rutgers 71 [70],"Sunday, December 8, 2013 8:00 pm ET Louis Brown Athletic Center Piscataway, NJ",70,4.8474,0.035126087
235 Southeast Missouri St. 74 307 Eastern Illinois 68 [66],"Saturday, February 8, 2014 3:00 pm ET Lantz Arena Charleston, IL",66,4.7059,0.035118657
11 Michigan 72 17 Ohio St. 69 [63],"Saturday, March 15, 2014 1:40 pm ET Bankers Life Fieldhouse Indianapolis, IN",63,4.5644,0.035110769
46 Utah St. 77 127 Weber St. 71 [65],"Tuesday, November 26, 2013 9:30 pm ET Dee Events Center Ogden, UT",65,4.7047,0.035109701
10 Arizona 72 22 Duke 66 [67],"Friday, November 29, 2013 6:00 pm ET Madison Square Garden New York, NY",67,4.7745,0.035106618
116 Alabama 80 46 Missouri 73 [64],"Saturday, February 22, 2014 8:00 pm ET Coleman Coliseum Tuscaloosa, AL",64,4.4577,0.0351
344 New Hampshire 60 216 Albany 56 [67],"Thursday, January 23, 2014 7:00 pm ET Lundholm Gym Durham, NH",67,4.768,0.035058824
243 Liberty 62 206 Sam Houston St. 58 [61],"Saturday, November 30, 2013 3:30 pm ET American Bank Center Corpus Christi, TX",61,4.3114,0.035052033
252 Gardner Webb 80 273 High Point 76 [67],"Saturday, February 8, 2014 7:00 pm ET Paul Porter Arena Boiling Springs, NC",67,4.5914,0.035048855
185 East Carolina 76 222 Norfolk St. 74 [75],"Monday, November 18, 2013 9:30 pm ET Cameron Indoor Stadium Durham, NC",75,5.3587,0.035024183
156 Charlotte 62 208 Florida Atlantic 53 [66],"Thursday, January 30, 2014 7:00 pm ET Dale F. Halton Arena Charlotte, NC",66,4.6572,0.035016541
74 Georgia 63 70 Vermont 56 [60],"Wednesday, March 19, 2014 8:00 pm ET Stegeman Coliseum Athens, GA",60,4.3068,0.035014634
12 Kentucky 73 1 Louisville 66 [70],"Saturday, December 28, 2013 4:00 pm ET Rupp Arena Lexington, KY",70,4.797,0.035014599
190 Duquesne 71 309 NJIT 64 [64],"Wednesday, January 29, 2014 7:00 pm ET Fleisher Center Newark, NJ",64,4.5167,0.035013178
110 USC 63 272 Cal St. Bakersfield 59 [62],"Sunday, December 15, 2013 10:00 pm ET Galen Center Los Angeles, CA",62,4.3017,0.034973171
146 Charlotte 68 64 Kansas St. 61 [69],"Thursday, November 21, 2013 10:30 am ET Coliseo Roberto Clemente San Juan, PR",69,4.8238,0.034955072
262 Portland St. 70 206 Montana 63 [62],"Thursday, March 13, 2014 9:00 pm ET Dee Events Center Ogden, UT",62,4.4035,0.034948413
289 Coppin St. 54 337 Delaware St. 53 [53],"Monday, February 3, 2014 7:30 pm ET Physical Education Complex Baltimore, MD",53,3.7026,0.034930189
288 SIU Edwardsville 83 291 Austin Peay 68 [72],"Saturday, February 15, 2014 8:30 pm ET Winfield Dunn Center Clarksville, TN",72,5.0636,0.034921379
127 Elon 67 241 Florida Atlantic 62 [65],"Sunday, December 22, 2013 1:00 pm ET FAU Arena Boca Raton, FL",65,4.5388,0.034913846
21 Iowa St. 91 116 Northern Iowa 82  (OT) [85],"Saturday, December 7, 2013 6:00 pm ET Wells Fargo Arena Des Moines, IA",85,6.0026,0.034898837
274 East Tennessee St. 64 302 Northern Kentucky 50 [58],"Thursday, February 6, 2014 7:00 pm ET Bank of Kentucky Center Highland Heights, KY",58,4.1847,0.0348725
222 Wagner 56 328 St. Francis PA 50 [62],"Saturday, January 18, 2014 2:00 pm ET DeGol Arena Loretto, PA",62,4.3587,0.0348696
228 Seattle 76 255 Idaho 68 [65],"Saturday, March 1, 2014 10:00 pm ET KeyArena Seattle, WA",65,4.4277,0.03486378
249 South Dakota 59 125 Denver 54 [56],"Saturday, January 11, 2014 5:00 pm ET DakotaDome Vermillion, SD",56,4.0086,0.034857391
228 Loyola Chicago 93 94 Northern Iowa 87  (OT) [69],"Saturday, January 25, 2014 4:00 pm ET Gentile Center Chicago, IL",69,4.9479,0.034844366
56 Saint Joseph's 83 76 St. Bonaventure 74 [72],"Saturday, March 1, 2014 3:00 pm ET Reilly Center St. Bonaventure, NY",72,5.0515,0.034837931
302 Austin Peay 77 230 Liberty 71 [68],"Saturday, December 14, 2013 8:00 pm ET Winfield Dunn Center Clarksville, TN",68,4.7712,0.034826277
167 Rutgers 72 195 South Florida 68 [72],"Wednesday, March 12, 2014 7:00 pm ET FedExForum Memphis, TN",72,4.9084,0.034811348
331 UMass Lowell 70 199 Albany 66  (OT) [70],"Wednesday, January 15, 2014 7:00 pm ET Costello Athletic Center Lowell, MA",70,4.6981,0.034800741
338 Arkansas Pine Bluff 78 337 Mississippi Valley St. 73 [75],"Saturday, January 4, 2014 6:00 pm ET Leflore County Civic Center Greenwood, MS",75,5.253,0.034788079
66 Texas 67 103 Texas Tech 64 [62],"Saturday, January 11, 2014 8:00 pm ET Frank Erwin Special Events Center Austin, TX",62,4.2415,0.034766393
263 Hartford 68 191 Dartmouth 56 [60],"Tuesday, January 7, 2014 7:00 pm ET Leede Arena Hanover, NH",60,4.2067,0.034766116
139 Tulsa 69 249 Marshall 52 [67],"Saturday, January 18, 2014 12:00 pm ET Henderson Center Huntington, WV",67,4.6932,0.034764444
89 Alabama 82 60 LSU 80 [71],"Saturday, January 25, 2014 8:00 pm ET Coleman Coliseum Tuscaloosa, AL",71,4.9711,0.034762937
27 Minnesota 74 70 Richmond 59 [69],"Saturday, November 16, 2013 7:00 pm ET Robins Center Richmond, VA",69,4.9695,0.034751748
167 Morehead St. 80 325 Tennessee St. 74  (OT) [65],"Saturday, January 25, 2014 8:30 pm ET Gentry Center Nashville, TN",65,4.6906,0.034745185
173 Florida Gulf Coast 69 248 East Tennessee St. 64 [75],"Thursday, March 6, 2014 6:30 pm ET Alico Arena Fort Myers, FL",75,5.3507,0.034744805
96 Nebraska 68 11 Ohio St. 62 [69],"Monday, January 20, 2014 7:00 pm ET Pinnacle Bank Arena Lincoln, NE",69,4.9328,0.034738028
225 Cal St. Bakersfield 61 189 Seattle 57 [60],"Thursday, January 16, 2014 10:00 pm ET KeyArena Seattle, WA",60,4.0295,0.034737069
237 North Florida 65 313 Savannah St. 61 [62],"Tuesday, November 26, 2013 7:00 pm ET Tiger Arena Savannah, GA",62,4.4112,0.034733858
314 New Orleans 79 325 Houston Baptist 66 [62],"Thursday, January 23, 2014 8:30 pm ET Sharp Gymnasium Houston, TX",62,4.3763,0.03473254
104 Seton Hall 68 30 Xavier 60 [61],"Saturday, February 1, 2014 12:00 pm ET Cintas Center Cincinnati, OH",61,4.3064,0.034729032
152 Morehead St. 85 326 Eastern Illinois 77 [81],"Saturday, January 4, 2014 3:00 pm ET Lantz Arena Charleston, IL",81,5.6894,0.034691463
17 Ohio St. 76 5 Iowa 69 [68],"Tuesday, February 4, 2014 7:00 pm ET Carver-Hawkeye Arena Iowa City, IA",68,4.8568,0.034691429
122 American 57 148 Holy Cross 46 [53],"Saturday, March 8, 2014 5:30 pm ET Bender Arena Washington, DC",53,3.7463,0.034687963
280 UMKC 85 223 Grand Canyon 80 [63],"Thursday, February 27, 2014 9:00 pm ET Grand Canyon University Arena Phoenix, AZ",63,4.4371,0.034664844
342 Maine 68 321 New Hampshire 60 [72],"Wednesday, January 29, 2014 7:00 pm ET Lundholm Gym Durham, NH",72,5.061,0.034664384
295 Alabama St. 64 312 Alcorn St. 51 [64],"Thursday, March 13, 2014 1:30 pm ET Toyota Center Houston, TX",64,4.5058,0.03466
71 Maryland 74 81 Miami FL 71 [63],"Wednesday, January 29, 2014 9:00 pm ET Comcast Center College Park, MD",63,4.4355,0.034652344
76 Saint Joseph's 53 125 Denver 52 [57],"Saturday, January 4, 2014 2:00 pm ET Hagan Arena Philadelphia, PA",57,3.9846,0.034648696
42 George Washington 76 54 Saint Joseph's 71 [65],"Wednesday, March 5, 2014 9:00 pm ET Charles E. Smith Center Washington, DC",65,4.4349,0.034647656
120 Middle Tennessee 67 202 Florida Atlantic 63 [62],"Thursday, February 6, 2014 7:00 pm ET FAU Arena Boca Raton, FL",62,4.3612,0.034612698
152 Robert Morris 74 239 Wagner 70 [68],"Saturday, January 25, 2014 4:00 pm ET Sewall Center Coraopolis, PA",68,4.7073,0.0346125
37 Saint Mary's 82 63 Boise St. 74 [69],"Saturday, December 14, 2013 6:05 pm ET Taco Bell Arena Boise, ID",69,4.6726,0.034611852
137 Georgia Tech 67 11 Syracuse 62 [63],"Tuesday, March 4, 2014 7:00 pm ET Carrier Dome Syracuse, NY",63,4.4993,0.03461
297 IUPUI 72 162 Bradley 66 [70],"Wednesday, December 4, 2013 8:30 pm ET Renaissance Coliseum Peoria, IL",70,4.9138,0.034604225
276 North Dakota 66 238 Idaho St. 62 [69],"Thursday, January 9, 2014 8:00 pm ET Betty Engelstad Sioux Center Grand Forks, ND",69,4.8421,0.034586429
37 Clemson 56 153 Virginia Tech 49 [55],"Wednesday, January 15, 2014 7:00 pm ET Cassell Coliseum Blacksburg, VA",55,3.8389,0.034584685
272 Niagara 80 231 Marist 74 [69],"Friday, January 24, 2014 7:00 pm ET Gallagher Center Niagara, NY",69,4.7725,0.034583333
116 Northwestern 58 157 Brown 52 [68],"Sunday, December 22, 2013 2:00 pm ET Welsh-Ryan Arena Evanston, IL",68,4.8063,0.034577698
107 Holy Cross 62 175 Albany 57 [63],"Wednesday, December 4, 2013 7:00 pm ET Hart Recreation Center Worcester, MA",63,4.4243,0.034564844
231 Army 87 211 Lafayette 84 [72],"Saturday, March 1, 2014 3:00 pm ET Christl Arena West Point, NY",72,5.0801,0.034558503
132 Pepperdine 80 144 Loyola Marymount 69 [69],"Saturday, February 1, 2014 6:00 pm ET Firestone Fieldhouse Malibu, CA",69,4.8687,0.034529787
221 Lehigh 71 284 Lafayette 68 [64],"Saturday, January 25, 2014 7:00 pm ET Stabler Arena Bethlehem, PA",64,4.5202,0.034505344
